id,name,start_date,end_date,replaces,replaced_by
Q334337,"David Maxwell Fyfe, 1st Earl of Kilmuir",1951-10-28,1954-10-18,,Q333823
Q333823,"Gwilym Lloyd George, 1st Viscount Tenby",1954-10-18,1957-01-13,Q334337,Q333889
Q333889,"Henry Brooke, Baron Brooke of Cumnor",1957-01-13,1961-10-09,Q333823,Q333392
Q333392,"Charles Hill, Baron Hill of Luton",1961-10-09,1962-07-13,Q333889,Q333694
Q333694,Keith Joseph,1962-07-13,1964-10-16,Q333392,Q333834
Q333834,Jim Griffiths,1964-10-18,1966-04-05,Q333694,Q333652
Q333652,Cledwyn Hughes,1966-04-05,1968-04-05,Q333834,Q333919
Q333919,"George Thomas, 1st Viscount Tonypandy",1968-04-05,1970-06-20,Q333652,Q333616
Q333616,"Peter Thomas, Baron Thomas of Gwydir",1970-06-20,1974-03-05,Q333919,Q333932
Q333932,"John Morris, Baron Morris of Aberavon",1974-03-05,1979-05-05,Q333616,Q332902
Q332902,"Nicholas Edwards, Baron Crickhowell",1979-05-05,1987-06-13,Q333932,Q333858
Q333858,"Peter Walker, Baron Walker of Worcester",1987-06-13,1990-05-04,Q332902,Q333909
Q333909,"David Hunt, Baron Hunt of Wirral",1990-05-04,1993-05-27,Q333858,Q333846
Q333846,John Redwood,1993-05-27,1995-06-26,Q333909,Q333909
Q333909,"David Hunt, Baron Hunt of Wirral",1995-06-26,1995-07-05,Q333846,Q58282
Q58282,William Hague,1995-07-05,1997-05-03,Q333909,Q333869
Q333869,Ron Davies (Welsh politician),1997-05-03,1998-10-27,Q58282,Q19397
Q19397,Alun Michael,1998-10-27,1999-07-28,Q333869,Q333828
Q333828,"Paul Murphy, Baron Murphy of Torfaen",1999-07-28,2002-10-24,Q19397,Q333165
Q333165,Peter Hain,2002-10-24,2008-01-24,Q333828,Q333828
Q333828,"Paul Murphy, Baron Murphy of Torfaen",2008-01-24,2009-06-05,Q333165,Q333165
Q333165,Peter Hain,2009-06-05,2010-05-11,Q333828,Q333852
Q333852,Cheryl Gillan,2010-05-11,2012-09-04,Q333165,Q728167
Q728167,David Jones (MP for Clwyd West),2012-09-04,2014-07-14,Q333852,Q291393
Q291393,Stephen Crabb,2014-07-15,2016-03-19,Q728167,Q268030
Q268030,Alun Cairns,2016-03-19,2019-11-06,Q291393,Q478345
Q478345,Simon Hart,2019-12-16,,Q268030,
